2, 0.0000, 1, 0.721348
4, 0.0000, 4, 0.721348
8, 0.0000, 13, 0.781460
16, 0.0000, 32, 0.721348
32, 0.0000, 86, 0.775449
64, 0.0000, 193, 0.725105
128, 0.0000, 460, 0.740669
256, 0.0000, 998, 0.703032
512, 0.4000, 1945, 0.608950
1024, 0.4500, 4311, 0.607369
2048, 0.0000, 8575, 0.549144
4096, 0.4000, 16690, 0.489880
8192, 1.8000, 34785, 0.471230
16384, 10.3500, 70025, 0.440433
32768, 29.8000, 144251, 0.423401
